log_id,timestamp,station_id,item_category,user_email
LOG1000,2026-06-02 19:00,19864,mobility,demo@circuitback.sg
LOG1004,2026-06-06 11:00,19846,ict,demo@circuitback.sg
LOG1011,2026-06-06 14:00,19992,bulbs,demo@circuitback.sg
LOG1010,2026-06-10 11:00,20071,bulbs,demo@circuitback.sg
LOG1021,2026-06-11 13:00,19897,mobility,demo@circuitback.sg
LOG1025,2026-06-11 15:00,19889,mobility,demo@circuitback.sg
LOG1024,2026-06-11 16:00,20048,large,demo@circuitback.sg
LOG1001,2026-06-15 10:00,20134,bulbs,demo@circuitback.sg
LOG1018,2026-06-15 20:00,20437,ict,demo@circuitback.sg
LOG1020,2026-06-18 15:00,20130,ict,demo@circuitback.sg
LOG1008,2026-06-18 20:00,20459,small,demo@circuitback.sg
LOG1007,2026-06-27 11:00,20042,mobility,demo@circuitback.sg
LOG1014,2026-07-05 09:00,19903,mobility,demo@circuitback.sg
LOG1015,2026-07-06 12:00,19855,small,demo@circuitback.sg
LOG1003,2026-07-08 14:00,19862,large,demo@circuitback.sg
LOG1005,2026-07-09 08:00,20405,batteries,demo@circuitback.sg
LOG1026,2026-07-11 19:00,19956,small,demo@circuitback.sg
LOG1023,2026-07-12 09:00,20051,mobility,demo@circuitback.sg
LOG1022,2026-07-13 12:00,20114,bulbs,demo@circuitback.sg
LOG1027,2026-07-14 13:00,19879,large,demo@circuitback.sg
LOG1002,2026-07-14 19:00,19863,mobility,demo@circuitback.sg
LOG1009,2026-07-15 14:00,19974,ict,demo@circuitback.sg
LOG1017,2026-07-16 09:00,19869,large,demo@circuitback.sg
LOG1006,2026-07-16 18:00,19869,large,demo@circuitback.sg
LOG1013,2026-07-22 08:00,19890,large,demo@circuitback.sg
LOG1019,2026-07-25 11:00,19932,bulbs,demo@circuitback.sg
LOG1012,2026-07-25 13:00,20170,ict,demo@circuitback.sg
LOG1016,2026-07-26 13:00,20047,mobility,demo@circuitback.sg
